Titulo,Empresa,Anyo,Genero,Plataforma,Multijugador
Mega Man Battle Network 5: Double Team DS,Capcom,2005,"Action,Role-Playing (RPG)",Nintendo DS,0
Nanostray,THQ,2005,Action,Nintendo DS,0
Sega Casino,Sega,2005,Simulation,Nintendo DS,0
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,Konami,2005,"Action,Adventure",Nintendo DS,0
Pac-Man World 3,"EA,Namco",2005,Action,Sony PSP,0
Tokobot,,2005,Strategy,Sony PSP,0
Fullmetal Alchemist: Dual Sympathy,,2005,Action,Nintendo DS,0
Exit,Ubisoft,2005,Action,Sony PSP,0
Bubble Bobble Revolution,,2005,Action,Nintendo DS,0
The Rub Rabbits!,Sega,2005,"Action,Adventure",Nintendo DS,1
Electroplankton,Nintendo,2005,Simulation,Nintendo DS,0
LifeSigns: Surgical Unit,,2005,"Simulation,Strategy",Nintendo DS,0
Space Invaders Revolution,,2005,Action,Nintendo DS,0
Wii Play,Nintendo,2006,"Action,Sports",Nintendo Wii,1
New Super Mario Bros.,Nintendo,2006,Action,Nintendo DS,0
Pokmon Diamond,Nintendo,2006,Role-Playing (RPG),Nintendo DS,0
Pokmon Pearl,Nintendo,2006,Role-Playing (RPG),Nintendo DS,0
Gears of War,Microsoft,2006,Action,X360,1
The Legend of Zelda: Twilight Princess,Nintendo,2006,"Action,Role-Playing (RPG)",Nintendo Wii,0
Cooking Mama,,2006,Simulation,Nintendo DS,0
Marvel Ultimate Alliance,Activision,2006,"Action,Role-Playing (RPG)",X360,1
Daxter,Sony,2006,Action,Sony PSP,0
The Elder Scrolls IV: Oblivion,2K,2006,"Action,Role-Playing (RPG)",X360,0
Madden NFL 07,EA,2006,Sports,X360,1
Grand Theft Auto: Vice City Stories,Rockstar,2006,"Action,Racing / Driving",Sony PSP,0
Resistance: Fall of Man,Sony,2006,Action,PlayStation 3,1
MotorStorm,Sony,2006,"Action,Racing / Driving,Sports",PlayStation 3,0
Call of Duty 3,Activision,2006,Action,X360,1
Yoshi's Island DS,Nintendo,2006,Action,Nintendo DS,0
Tom Clancy's Ghost Recon: Advanced Warfighter,Ubisoft,2006,Action,X360,1
Fight Night Round 3,EA,2006,"Action,Sports",X360,1
Pokmon Ranger,Nintendo,2006,Role-Playing (RPG),Nintendo DS,0
Rayman Raving Rabbids,Ubisoft,2006,Action,Nintendo Wii,1
Saints Row,THQ,2006,"Action,Racing / Driving",X360,0
Tom Clancy's Rainbow Six: Vegas,Ubisoft,2006,Action,X360,1
Dead Rising,Capcom,2006,Action,X360,0
Call of Duty 3,Activision,2006,Action,Nintendo Wii,0
Lost Planet: Extreme Condition,Capcom,2006,Action,X360,0
Mario Hoops 3 on 3,Nintendo,2006,Sports,Nintendo DS,0
LEGO Star Wars II: The Original Trilogy,EA,2006,Action,Nintendo DS,0
Super Monkey Ball: Banana Blitz,Sega,2006,Action,Nintendo Wii,1
The Sims 2: Pets,EA,2006,Simulation,Nintendo DS,0
Need for Speed: Carbon - Own the City,EA,2006,Racing / Driving,Sony PSP,0
WarioWare: Smooth Moves,Nintendo,2006,"Action,Racing / Driving,Sports",Nintendo Wii,1
Fight Night Round 3,EA,2006,"Action,Sports",PlayStation 3,1
Final Fantasy III,SquareEnix,2006,Role-Playing (RPG),Nintendo DS,0
SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,Sony,2006,Action,Sony PSP,0
Madden NFL 07,EA,2006,Sports,Sony PSP,0
Monster 4x4: World Circuit,Ubisoft,2006,Racing / Driving,Nintendo Wii,1
Kirby: Squeak Squad,Nintendo,2006,Action,Nintendo DS,0
Pokmon Battle Revolution,Nintendo,2006,"Action,Strategy",Nintendo Wii,1
Medal of Honor: Heroes,EA,2006,Action,Sony PSP,0
Tekken: Dark Resurrection,"Namco,Sony",2006,Action,Sony PSP,0
Need for Speed: Carbon,EA,2006,Racing / Driving,X360,1
Mario vs. Donkey Kong 2: March of the Minis,Nintendo,2006,Action,Nintendo DS,0
Sonic Rivals,Sega,2006,"Action,Racing / Driving",Sony PSP,0
NCAA Football 07,EA,2006,Sports,X360,1
Mortal Kombat: Unchained,Midway,2006,Action,Sony PSP,1
Tom Clancy's Splinter Cell: Double Agent,Ubisoft,2006,Action,X360,0
Tetris DS,Nintendo,2006,Strategy,Nintendo DS,0
LEGO Star Wars II: The Original Trilogy,,2006,Action,Sony PSP,1
Red Steel,Ubisoft,2006,Action,Nintendo Wii,1
Metroid Prime: Hunters,Nintendo,2006,Action,Nintendo DS,0
LEGO Star Wars II: The Original Trilogy,,2006,Action,X360,1
NBA 2K7 ,2K,2006,Sports,X360,0
SEGA Genesis Collection,Sega,2006,"Action,Racing / Driving,Role-Playing (RPG),Strategy",Sony PSP,1
Call of Duty 3,Activision,2006,Action,PlayStation 3,0
NBA Live 07,EA,2006,Sports,Sony PSP,0
Madden NFL 07,EA,2006,Sports,PlayStation 3,1
SpongeBob SquarePants: The Yellow Avenger,THQ,2006,Action,Sony PSP,0
Madden NFL 07,EA,2006,Sports,Nintendo Wii,1
Fight Night Round 3,EA,2006,"Action,Simulation,Sports",Sony PSP,1
Need for Speed: Carbon,EA,2006,Racing / Driving,PlayStation 3,1
Need for Speed: Carbon,EA,2006,Racing / Driving,Nintendo Wii,1
WWE SmackDown vs. Raw 2007,THQ,2006,Sports,X360,1
Tiger Woods PGA Tour 07,EA,2006,Sports,X360,0
Viva Pi$?ata,Microsoft,2006,"Simulation,Strategy",X360,1
SpongeBob Squarepants: Creature from the Krusty Krab,THQ,2006,"Action,Adventure",Nintendo Wii,0
Tony Hawk's Project 8,Activision,2006,Sports,Sony PSP,1
Tony Hawk's Project 8,Activision,2006,Sports,X360,1
NBA LIVE 07 ,EA,2006,Sports,X360,0
Excite Truck,Nintendo,2006,Racing / Driving,Nintendo Wii,1
Harvest Moon DS,,2006,"Role-Playing (RPG),Simulation",Nintendo DS,0
Star Fox Command,Nintendo,2006,Action,Nintendo DS,0
Metal Gear Solid: Portable Ops,Konami,2006,"Action,Strategy",Sony PSP,0
Marvel Ultimate Alliance,Activision,2006,"Action,Role-Playing (RPG)",Nintendo Wii,1
Blazing Angels: Squadrons of WWII,Ubisoft,2006,Action,X360,1
Major League Baseball 2K6,2K,2006,Sports,X360,1
NCAA Football 07,EA,2006,Sports,Sony PSP,0
MLB 06: The Show,Sony,2006,Sports,Sony PSP,1
Blazing Angels: Squadrons of WWII,Ubisoft,2006,Action,PlayStation 3,1
WWE SmackDown vs. Raw 2007,THQ,2006,Sports,Sony PSP,1
